Cohort	Phenotype	direct_n_median_hm3	population_n_median_hm3	N_SNP_preqc	N_SNP_postqc	Genetic Correlation	Genetic Correlation SE
Lifelines	Ea	4584.0	8982.0	2891216	2871666	0.8023	0.1377
Lifelines	Bmi	7682.0	14203.0	2891216	2873747	0.8592	0.0775
Lifelines	Height	11508.0	13319.0	2891216	2873801	0.9365	0.1174
Lifelines	Hdl	7390.0	14315.0	2891216	2873743	0.9959	0.1881
Lifelines	Hdl18	6424.0	12824.0	2891216	2872906	1.1301	0.2999
Lifelines	Ldl18	6095.0	13105.0	2891216	2872803		
Lifelines	Ldl	6566.0	15108.0	2891216	2873616	0.4173	0.1422
Lifelines	Tgl18	5801.0	13464.0	2891216	2872762		
Lifelines	Tgl	6566.0	15108.0	2891216	2873616	0.4173	0.1422
Lifelines	Cho	6892.0	14719.0	2891216	2873717	1.089	0.1653
Lifelines	Cho18	6094.0	13106.0	2891216	2872802	1.1306	0.2131
Lifelines	Es18	5581.0	12329.0	2891216	2872819	-0.8126	0.1127
Lifelines	Es	5581.0	12329.0	2891216	2872819	-0.8126	0.1127
Lifelines	Cognition18	3202.0	7662.0	2891216	2870043	0.6474	0.2265
Lifelines	Cognition	3202.0	7662.0	2891216	2870043	0.6474	0.2265
Estonian_Biobank	Ea	15093.0	36516.0	8381066	3264119	0.9642	0.0649
Estonian_Biobank	Bmi	23496.0	56315.0	8381066	3266821	0.9075	0.0268
Estonian_Biobank	Depression	29380.0	76554.0	8381066	3268004		
Estonian_Biobank	Smoking	22240.0	55645.0	8381066	3266796	-0.888	0.0391
Estonian_Biobank	Aafb	9723.0	25651.0	8381066	3264352	1.0673	0.1858
Estonian_Biobank	Asthma	29479.0	77458.0	8381066	3268098	0.9921	0.1339
Estonian_Biobank	Eczema	25211.0	66280.0	8381066	3267475	1.0907	0.4012
Estonian_Biobank	Hayfever	22654.0	57018.0	8381066	3266803		
Estonian_Biobank	Migraine	25971.0	68034.0	8381066	3267638		
Estonian_Biobank	Mdd	28918.0	76203.0	8381066	3268203	0.8636	0.1935
Ukb	Ea	19183.0	34419.0	1140382	1133498	1.0234	0.0334
Ukb	Bmi	16292.0	35590.0	1140382	1133502	0.9496	0.0224
Ukb	Height	22484.0	33649.0	1140382	1133513	0.9784	0.0151
Ukb	Swb	4266.0	11690.0	1140382	1134067	0.6175	0.1522
Ukb	Nonhdl	12985.0	32545.0	1140382	1133485	0.7734	0.095
Ukb	Hdl	14014.0	31709.0	1140382	1133524	0.9373	0.0584
Ukb	Bps	13848.0	34790.0	1140382	1133546	0.9202	0.0504
Ukb	Srh	14714.0	37165.0	1140382	1133491	-1.038	0.0778
Ukb	Bpd	13832.0	34814.0	1140382	1133548	0.7942	0.037
Ukb	Fev	14488.0	33277.0	1140382	1133489	0.7771	0.0255
Ukb	Es	15141.0	36627.0	1140382	1133492	-1.1235	0.0894
Ukb	Cpd	4232.0	11468.0	1140382	1133867	-0.7883	0.1086
Ukb	Dpw	4647.0	12750.0	1140382	1133775	-0.7561	0.1239
Ukb	Cognition	4720.0	11099.0	1140382	1134217	1.0116	0.0857
